epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,99.4466,1.52971,0.83344,0.35671,1.55258,1.34679,0.50432,0.56858,0.44921,0.18235,0.61736,0.68808,0.59117,0.31988,0.99218,1.21791,0.20056,31.8635,0.99726,0.0018284,0.0018284,0.0018284
28,194.045,1.45488,0.64952,0.34875,1.43867,1.26566,0.62813,0.58824,0.6313,0.29857,0.76053,0.86765,0.90799,0.80365,0.97166,0.48496,0.14183,40.7499,0.95681,0.0018218,0.0018218,0.0018218
29,306.151,1.4872,0.82082,0.32448,1.42001,1.32335,0.72136,0.55147,0.62355,0.24954,0.76112,0.70283,0.8102,0.5763,1.10738,0.64424,0.15902,23.1102,0.85968,0.0018152,0.0018152,0.0018152
30,435.919,1.52532,0.64905,0.32083,1.41947,1.322,0.69299,0.66176,0.71426,0.27686,0.73,0.71569,0.80972,0.64244,1.08878,0.6272,0.16436,25.1486,0.96003,0.0018086,0.0018086,0.0018086
31,549.601,1.4644,0.59116,0.32829,1.40711,1.29987,0.72424,0.69522,0.71633,0.3799,0.76919,0.74265,0.84093,0.73739,0.94882,0.51198,0.14763,28.4897,0.82677,0.001802,0.001802,0.001802
32,685.881,1.4344,0.56061,0.28428,1.35028,1.27951,0.76969,0.625,0.70947,0.32387,0.83306,0.79412,0.91385,0.89116,0.98367,0.41289,0.16811,33.4996,0.85948,0.0017954,0.0017954,0.0017954
33,798.296,1.43046,0.52264,0.28373,1.36062,1.27427,0.73237,0.64391,0.7205,0.32854,0.83457,0.89706,0.92552,0.88044,1.06447,0.66522,0.14653,29.3407,0.84763,0.0017888,0.0017888,0.0017888
34,922.16,1.51661,0.57992,0.30172,1.34539,1.28876,0.71246,0.63767,0.69575,0.40434,0.71544,0.80882,0.84215,0.79691,1.00783,0.37449,0.12261,17.5472,0.79428,0.0017822,0.0017822,0.0017822
35,1040.36,1.41704,0.46663,0.27207,1.37276,1.2971,0.61305,0.67647,0.58415,0.22927,0.73443,0.8337,0.80945,0.71148,1.04523,0.41046,0.12526,17.8839,1.00877,0.0017756,0.0017756,0.0017756
36,1178.21,1.43108,0.463,0.2531,1.38662,1.26936,0.54499,0.80145,0.58342,0.28841,0.64918,0.86765,0.76878,0.68214,0.89349,0.38917,0.09331,11.9881,0.8825,0.001769,0.001769,0.001769
37,1307.81,1.49627,0.69257,0.26693,1.49146,1.263,0.5706,0.60294,0.60108,0.28749,0.69,0.90441,0.83733,0.78558,1.04611,0.4568,0.14732,13.6537,0.94322,0.0017624,0.0017624,0.0017624
38,1430.79,1.44235,0.59988,0.25383,1.42703,1.25596,0.64751,0.78342,0.72362,0.42367,0.67237,0.87522,0.82521,0.73061,0.76168,0.58079,0.1611,19.6921,0.78771,0.0017558,0.0017558,0.0017558
39,1563.91,1.31847,0.51104,0.27798,1.35117,1.21595,0.67816,0.72059,0.72845,0.32763,0.82862,0.89706,0.91992,0.78069,0.98608,0.46875,0.13403,10.077,0.86601,0.0017492,0.0017492,0.0017492
40,1677.84,1.33089,0.45223,0.24735,1.25993,1.19948,0.66619,0.69853,0.7156,0.25473,0.81671,0.91176,0.90864,0.87983,1.06783,0.34091,0.10432,16.8724,0.88992,0.0017426,0.0017426,0.0017426
41,1800.31,1.39165,0.46835,0.25724,1.30503,1.20976,0.76627,0.66176,0.77495,0.3261,0.77999,0.86029,0.91421,0.8528,0.99736,0.77264,0.10083,28.3064,0.88024,0.001736,0.001736,0.001736
42,1929.77,1.40419,0.48772,0.23285,1.29823,1.23013,0.63503,0.72059,0.62094,0.24651,0.81393,0.90059,0.93107,0.89296,1.04087,0.43697,0.17283,9.53873,0.86305,0.0017294,0.0017294,0.0017294
43,2052.44,1.3523,0.53654,0.25693,1.29661,1.22045,0.81678,0.61029,0.75672,0.36551,0.67222,0.87461,0.86937,0.84009,1.08706,0.52418,0.12019,26.6187,0.85623,0.0017228,0.0017228,0.0017228
44,2168.49,1.36887,0.49004,0.22853,1.2663,1.23361,0.81052,0.68382,0.79463,0.45284,0.77183,0.84559,0.91855,0.86702,0.93868,0.36071,0.08712,8.45147,0.80769,0.0017162,0.0017162,0.0017162
