epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.022,4.22805,9.52456,0.70805,9.35014,4.26323,0,0,0,0,0,0,0,0,0,0,0,39.8614,0,0.00012,0.00012,0.00012
2,415.03,2.59971,8.73323,0.72753,2.72151,2.52094,0,0,0,0,0,0,0,0,0,0,0,811.189,0,0.000257426,0.000257426,0.000257426
3,673.018,2.04289,7.9262,0.76265,2.06445,2.09543,0,0,0,0,0,0,0,0,0,0,0,1112.52,0,0.00039208,0.00039208,0.00039208
4,881.158,2.03523,6.36517,0.80049,1.76718,1.98234,0,0,0,0,0,0,0,0,0,0,0,317.517,0,0.000523962,0.000523962,0.000523962
5,1043.22,1.83402,5.95436,0.78974,1.79364,1.88834,0,0,0,0,0,0,0,0,0,0,0,133.562,0,0.000653072,0.000653072,0.000653072
6,1292.97,2.00604,5.36053,0.77854,1.75972,1.90238,0,0,0,0,0,0,0,0,0,0,0,262.171,0,0.00077941,0.00077941,0.00077941
