epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,395.944,1.51313,1.43592,0.52606,1.09165,1.49902,0.88879,0.98462,0.96826,0.61663,0.85992,0.95385,0.90226,0.53479,0.83941,0.82373,0.24795,1.4436,1.17667,0.0014654,0.0014654,0.0014654
29,408.044,1.50499,1.29917,0.5231,1.10548,1.46944,0.86479,0.98399,0.95966,0.57799,0.85088,0.96923,0.93198,0.63578,0.93786,0.7504,0.23936,1.32767,1.2477,0.0014456,0.0014456,0.0014456
30,420.17,1.29831,1.13193,0.50497,1.02664,1.3956,0.93743,0.92203,0.96191,0.54583,0.92182,0.90695,0.93578,0.65252,1.31451,0.76472,0.21637,1.17519,1.41589,0.0014258,0.0014258,0.0014258
31,432.115,1.36652,1.26269,0.43605,0.96982,1.43498,0.92502,0.95385,0.97022,0.66211,0.90983,0.93846,0.94231,0.72812,1.04983,0.75358,0.25405,1.24411,1.24322,0.001406,0.001406,0.001406
32,444.604,1.29862,1.42604,0.58417,1.066,1.35478,0.91575,0.96923,0.97406,0.60467,0.90121,0.95385,0.94863,0.70651,1.18847,0.79022,0.21996,1.13909,1.36788,0.0013862,0.0013862,0.0013862
33,456.946,1.27573,1.47549,0.51078,1.03595,1.41527,0.89651,0.98462,0.97252,0.60967,0.87956,0.96923,0.94871,0.81948,0.82939,0.52962,0.20054,1.0366,1.20179,0.0013664,0.0013664,0.0013664
34,469.196,1.24132,1.15007,0.56535,1.00312,1.40315,0.94888,0.98462,0.97918,0.59074,0.93405,0.96923,0.95518,0.40517,0.99086,1.06344,0.17127,1.24484,1.22668,0.0013466,0.0013466,0.0013466
35,488.542,1.21018,1.28277,0.49714,0.94693,1.42115,0.94187,0.99719,0.97522,0.70811,0.92734,0.98181,0.9563,0.771,0.83813,0.45057,0.19755,2.09916,1.11262,0.0013268,0.0013268,0.0013268
36,508.916,1.23446,0.92076,0.53075,0.95487,1.37858,0.91253,1,0.97962,0.71903,0.89849,0.98462,0.96688,0.78182,0.71806,0.44641,0.23934,1.55625,1.05689,0.001307,0.001307,0.001307
37,529.753,1.20676,1.15577,0.4432,1.04838,1.35871,0.91418,0.98336,0.98277,0.6812,0.89988,0.96797,0.96639,0.7186,0.71537,0.46787,0.23732,1.99448,1.06721,0.0012872,0.0012872,0.0012872
38,550.436,1.17223,0.87926,0.50898,0.90638,1.35497,0.91459,0.95385,0.98314,0.61247,0.87606,0.98462,0.96189,0.6552,0.92919,0.61067,0.22764,2.06069,1.17991,0.0012674,0.0012674,0.0012674
39,569.388,1.24888,1.21287,0.5367,0.9566,1.34674,0.93687,0.95385,0.97975,0.63199,0.92176,0.93846,0.95837,0.80963,1.06003,0.42397,0.20777,1.83271,1.17058,0.0012476,0.0012476,0.0012476
40,587.844,1.2235,0.94126,0.48413,0.90686,1.35231,0.94405,0.96923,0.98832,0.63435,0.92847,0.95385,0.96954,0.85921,0.92372,0.39067,0.22746,1.67671,1.1257,0.0012278,0.0012278,0.0012278
41,606.745,1.28698,0.93708,0.49022,0.9539,1.35739,0.92759,1,0.98764,0.6345,0.91332,0.98462,0.97532,0.72889,0.88751,0.63389,0.20733,1.15357,1.1332,0.001208,0.001208,0.001208
42,621.25,1.11271,1.27804,0.50986,0.90255,1.2514,0.95906,0.96923,0.98805,0.74458,0.94384,0.95385,0.96867,0.8881,0.75177,0.30549,0.20696,1.75428,1.07596,0.0011882,0.0011882,0.0011882
43,633.605,1.0118,0.82832,0.44069,0.80172,1.19446,0.94675,1,0.99337,0.74275,0.93144,0.98462,0.97925,0.90846,0.74556,0.39594,0.19139,1.13568,1.07732,0.0011684,0.0011684,0.0011684
44,645.637,1.06088,0.78182,0.4356,0.83447,1.19789,0.95428,1,0.9892,0.68835,0.93891,0.98462,0.97685,0.86831,0.77805,0.53126,0.18897,0.81012,1.12518,0.0011486,0.0011486,0.0011486
45,657.684,1.06382,0.6781,0.43846,0.7896,1.26399,0.98439,0.97012,0.99025,0.73187,0.96887,0.95774,0.97828,0.88534,0.70754,0.51518,0.19363,0.8413,1.07919,0.0011288,0.0011288,0.0011288
46,669.727,0.99853,0.81145,0.46597,0.76926,1.24246,0.96706,1,0.99176,0.76737,0.95173,0.98462,0.9804,0.91836,0.59046,0.39595,0.18656,0.75005,1.02229,0.001109,0.001109,0.001109
47,682.179,1.11654,0.84856,0.4086,0.80269,1.26187,0.95396,0.98462,0.99109,0.78153,0.93835,0.96923,0.97846,0.94157,0.54743,0.30071,0.17241,1.0924,0.98532,0.0010892,0.0010892,0.0010892
48,694.519,0.96069,0.71552,0.40476,0.78857,1.22536,0.96548,1,0.99256,0.80278,0.95063,0.98462,0.97996,0.95216,0.53474,0.29229,0.19131,0.81333,1.00466,0.0010694,0.0010694,0.0010694
49,706.742,1.04864,0.87492,0.40339,0.84123,1.22997,0.96346,1,0.9916,0.68732,0.94698,0.98462,0.97689,0.95348,0.83474,0.2854,0.20115,0.77419,1.03999,0.0010496,0.0010496,0.0010496
50,719.034,1.25717,0.76718,0.43159,0.82128,1.21955,0.95576,0.99712,0.99116,0.63376,0.94101,0.98173,0.97323,0.88331,0.94785,0.4115,0.20848,0.74732,1.06626,0.0010298,0.0010298,0.0010298
51,731.276,1.16169,1.12479,0.40548,0.86486,1.35239,0.95256,0.98462,0.98988,0.72595,0.93767,0.96923,0.97725,0.89335,0.77753,0.3387,0.1861,0.73025,1.07081,0.00101,0.00101,0.00101
52,743.678,1.16991,0.61691,0.39598,0.93551,1.26106,0.96962,0.98213,0.99054,0.82046,0.95445,0.96709,0.97674,0.76925,0.5505,0.38949,0.15727,0.70495,0.96327,0.0009902,0.0009902,0.0009902
53,755.988,0.94485,0.62838,0.37343,0.79747,1.26694,0.96411,0.98462,0.99083,0.73856,0.94905,0.96923,0.97722,0.91204,0.68705,0.26138,0.16593,0.70189,1.0002,0.0009704,0.0009704,0.0009704
54,767.894,1.01148,0.8828,0.40021,0.72802,1.24666,0.95583,0.99889,0.99208,0.75524,0.94112,0.98364,0.98097,0.94872,0.68676,0.32324,0.16786,0.68572,1.02452,0.0009506,0.0009506,0.0009506
55,780.02,0.94079,0.72098,0.34463,0.71294,1.18753,0.95451,1,0.99258,0.76129,0.93983,0.98462,0.98029,0.9254,0.61238,0.28345,0.15337,0.67953,0.97298,0.0009308,0.0009308,0.0009308
56,792.177,0.95375,0.76992,0.42369,0.75239,1.16096,0.95271,1,0.99352,0.77709,0.93783,0.98462,0.98261,0.87752,0.68676,0.4386,0.15957,1.11939,1.01404,0.000911,0.000911,0.000911
57,804.169,0.91479,0.69921,0.36448,0.75189,1.13656,0.95482,1,0.99368,0.7369,0.94013,0.98462,0.98243,0.82263,0.77611,0.50805,0.17226,1.14871,1.08274,0.0008912,0.0008912,0.0008912
58,816.71,0.96539,0.91559,0.36277,0.73796,1.23749,0.94904,1,0.99324,0.77512,0.93444,0.98462,0.98,0.93935,0.58512,0.2658,0.18038,0.74318,0.95633,0.0008714,0.0008714,0.0008714
59,828.837,0.99078,1.07437,0.39554,0.76141,1.19747,0.98112,1,0.99455,0.79566,0.96559,0.98462,0.9782,0.96279,0.67967,0.20409,0.17995,0.63829,0.9676,0.0008516,0.0008516,0.0008516
60,841.105,0.91106,0.75037,0.32389,0.70431,1.14557,0.97272,1,0.99394,0.75537,0.95776,0.98462,0.98,0.84798,0.80106,0.4526,0.19071,0.85367,1.06428,0.0008318,0.0008318,0.0008318
61,854.562,0.86441,0.62644,0.31753,0.6732,1.15443,0.97588,1,0.99152,0.81158,0.96052,0.98462,0.97899,0.86613,0.55899,0.37576,0.1816,0.98881,0.94164,0.000812,0.000812,0.000812
62,868.074,0.89693,0.67798,0.34539,0.73604,1.10997,0.96556,1,0.99152,0.84813,0.95052,0.98462,0.97684,0.94278,0.53633,0.23455,0.15056,1.22529,0.9105,0.0007922,0.0007922,0.0007922
63,881.525,0.95712,0.58436,0.38373,0.74502,1.21116,0.98144,1,0.99409,0.83238,0.96634,0.98462,0.9779,0.95048,0.59299,0.2297,0.13976,0.75411,0.95343,0.0007724,0.0007724,0.0007724
64,895.824,0.86499,0.52677,0.33985,0.65071,1.11391,0.96813,1,0.99364,0.7927,0.95324,0.98462,0.97709,0.95492,0.55155,0.20056,0.14103,0.62641,0.91546,0.0007526,0.0007526,0.0007526
65,908.341,0.88841,0.68617,0.36916,0.6281,1.12324,0.96551,1,0.99381,0.8345,0.95065,0.98462,0.97849,0.97276,0.56843,0.1813,0.14274,0.59366,0.90239,0.0007328,0.0007328,0.0007328
66,920.885,0.86926,0.49245,0.36943,0.73517,1.18489,0.98454,0.97949,0.9941,0.74,0.96907,0.96424,0.97884,0.97339,0.85669,0.19494,0.14313,0.61396,0.96235,0.000713,0.000713,0.000713
67,933.547,0.89347,0.47069,0.35178,0.66483,1.15933,0.98168,1,0.99439,0.86243,0.96647,0.98462,0.97706,0.96049,0.54629,0.17729,0.14451,0.51105,0.90448,0.0006932,0.0006932,0.0006932
68,946.358,0.8505,0.66138,0.39149,0.64569,1.12288,0.98317,1,0.99303,0.8371,0.96796,0.98462,0.97426,0.95269,0.48532,0.18955,0.13934,0.54835,0.87886,0.0006734,0.0006734,0.0006734
69,959.079,0.90008,0.51108,0.30633,0.73991,1.11618,0.98289,1,0.99182,0.83063,0.96765,0.98462,0.97313,0.96455,0.52641,0.17717,0.13403,0.58771,0.88432,0.0006536,0.0006536,0.0006536
70,971.757,0.91987,0.56901,0.32062,0.64763,1.13631,0.98211,1,0.99136,0.86046,0.967,0.98462,0.97764,0.97104,0.49705,0.16892,0.1299,0.54675,0.87496,0.0006338,0.0006338,0.0006338
71,984.412,0.79838,0.51786,0.33562,0.61005,1.10927,0.98116,1,0.99152,0.82405,0.96606,0.98462,0.98022,0.96928,0.52988,0.17001,0.13535,0.60454,0.91188,0.000614,0.000614,0.000614
72,997.123,0.86226,0.57003,0.3838,0.66281,1.13498,0.98051,1,0.99348,0.83773,0.96542,0.98462,0.9795,0.97213,0.53945,0.15674,0.14455,0.56321,0.88271,0.0005942,0.0005942,0.0005942
73,1009.72,0.81583,0.72168,0.3347,0.63418,1.13552,0.98069,1,0.99394,0.85098,0.96547,0.98462,0.97926,0.97413,0.51217,0.15869,0.14426,0.52336,0.87512,0.0005744,0.0005744,0.0005744
74,1022.52,0.80298,0.5457,0.32163,0.64351,1.11057,0.98485,0.99986,0.99409,0.86973,0.96969,0.98448,0.97947,0.95671,0.42766,0.1953,0.14075,0.52037,0.86159,0.0005546,0.0005546,0.0005546
75,1035.42,0.7958,0.40208,0.27397,0.63542,1.09767,0.98459,0.98285,0.99439,0.86719,0.96918,0.96761,0.98021,0.95325,0.39886,0.24792,0.13419,0.54872,0.86409,0.0005348,0.0005348,0.0005348
76,1048.12,0.83488,0.54417,0.33993,0.5958,1.18789,0.98265,1,0.99439,0.81348,0.9674,0.98462,0.97934,0.96021,0.67879,0.18826,0.12587,0.56789,0.90051,0.000515,0.000515,0.000515
77,1060.91,0.88658,0.57689,0.31521,0.61802,1.15566,0.98262,1,0.99409,0.78053,0.96751,0.98462,0.97873,0.95093,0.77441,0.17896,0.12426,0.54883,0.95207,0.0004952,0.0004952,0.0004952
78,1073.82,0.86803,0.57593,0.3182,0.63623,1.1435,0.98263,1,0.99409,0.8444,0.96751,0.98462,0.97913,0.96334,0.53308,0.17116,0.13212,0.48093,0.87035,0.0004754,0.0004754,0.0004754
79,1086.74,0.7364,0.40422,0.30213,0.60344,1.06237,0.98381,1,0.99439,0.85213,0.96867,0.98462,0.98259,0.95668,0.50777,0.24374,0.13755,0.46806,0.91529,0.0004556,0.0004556,0.0004556
80,1099.71,0.73478,0.4898,0.34992,0.55194,1.09324,0.98478,1,0.99455,0.87338,0.96953,0.98462,0.98365,0.97438,0.38793,0.19346,0.13047,0.46754,0.86088,0.0004358,0.0004358,0.0004358
81,1112.73,0.73764,0.37207,0.27308,0.5853,1.05416,0.98484,0.99959,0.99455,0.87663,0.96969,0.98429,0.98326,0.9739,0.36673,0.17072,0.1266,0.44813,0.85139,0.000416,0.000416,0.000416
82,1125.52,0.78067,0.44506,0.2735,0.60974,1.10395,0.98485,0.99989,0.99485,0.88541,0.9697,0.98459,0.9827,0.97319,0.40471,0.15822,0.1253,0.43896,0.84623,0.0003962,0.0003962,0.0003962
83,1139.21,0.71396,0.39086,0.28099,0.55081,1.09112,0.98416,1,0.99485,0.87588,0.96897,0.98462,0.98149,0.97449,0.44447,0.15754,0.12571,0.43046,0.85838,0.0003764,0.0003764,0.0003764
84,1157.6,0.73396,0.84995,0.41333,0.58199,1.0864,0.9841,1,0.99485,0.84735,0.96892,0.98462,0.98007,0.97296,0.49963,0.1569,0.12687,0.44219,0.86059,0.0003566,0.0003566,0.0003566
85,1175.81,0.71734,0.54354,0.28491,0.59448,1.07505,0.98426,1,0.99485,0.85846,0.96907,0.98462,0.98046,0.97332,0.49427,0.15466,0.12521,0.44037,0.85548,0.0003368,0.0003368,0.0003368
86,1193.73,0.69713,0.47825,0.30546,0.55554,1.06415,0.98483,1,0.99485,0.8871,0.96961,0.98462,0.98124,0.97422,0.42817,0.1613,0.12318,0.45401,0.84586,0.000317,0.000317,0.000317
87,1206.95,0.67022,0.3323,0.25465,0.53998,1.0266,0.98461,1,0.99455,0.88674,0.96947,0.98462,0.9832,0.97988,0.36757,0.18073,0.1198,0.43886,0.84768,0.0002972,0.0002972,0.0002972
