epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8828,3.53801,8.34965,0.73102,6.79605,3.74761,0.2796,0.36923,0.21053,0.03662,0,0,0,0,2.3823,7.58774,0.52502,18.0975,2.16449,0.00012,0.00012,0.00012
2,83.0292,2.24133,6.89401,0.75575,2.29295,2.40094,0.24145,0.41538,0.29133,0.0935,0,0,0,0,1.7144,6.87749,0.50999,61.3561,1.85317,0.000259142,0.000259142,0.000259142
